"id","codigo","create_uid/id","create_date","nombre","write_uid/id","write_date"
"__export__.syllabus_estrategia_1_9daa8331","1","base.user_root","2018-11-02 21:43:30","Métodos de caso","base.user_root","2018-11-02 21:43:30"
"__export__.syllabus_estrategia_2_a9f6b52b","4","base.user_root","2018-11-02 21:43:42","Aprendizaje entre pares","base.user_root","2018-11-02 21:43:42"
"__export__.syllabus_estrategia_3_4c28571b","5","base.user_root","2018-11-02 21:43:52","Aprendizaje Basado en problemas","base.user_root","2018-11-02 21:43:52"
"__export__.syllabus_estrategia_4_16ad1e1c","6","base.user_root","2018-11-02 21:44:04","Aprendizaje basado en equipos","base.user_root","2018-11-02 21:44:04"
"__export__.syllabus_estrategia_5_197bd25a","7","base.user_root","2018-11-02 21:44:17","Discusión guiada","base.user_root","2018-11-02 21:44:17"
"__export__.syllabus_estrategia_6_346b47c3","8","base.user_root","2018-11-02 21:44:29","Análisis de ilustraciones","base.user_root","2018-11-02 21:44:29"
