"id","create_uid/id","create_date","descripcion","write_uid/id","write_date","nombre"
"__export__.syllabus_facultad_1_dda56322","base.user_root","2018-11-02 21:36:01","<p>Unidad Académica dedicada a realizar y promover la docencia, 
investigación, extensión y prestación de servicios en el ámbito de la 
ingeniería y de las ciencias que le dan sustento.</p>","base.user_root","2018-11-02 21:36:01","Facultad de Ciencias de la Ingeniería"
"__export__.syllabus_facultad_2_3b1cff92","base.user_root","2018-11-02 21:36:16","<p>Unidad Académica responsable de desarrollar y cultivar las ciencias 
sociales en concordancia con la Constitución Apostólica Ex Corde 
Ecclesiae y los Estatutos y Reglamentos de la Universidad.</p>","base.user_root","2018-11-02 21:36:16","Facultad de Ciencias Sociales y Económicas"
